Identifiant;Source;Date du document;Page PDF;Famille;Contexte;Motif original;Départs types originaux;Lien source
76-84-11;SDIS 76 · règlement opérationnel 2025 · annexe 6;2025-04-14;84;PRESTATION DE SERVICE;APPUI D’UNE MISSION DE SERVICE PUBLIC;CIC/CORG / LEVEE DE DOUTE SUR COLIS NRBC;Départ type : Chef de salle;https://www.sdis76.fr/wp-content/uploads/reglement-operationnel.pdf#page=84
76-84-12;SDIS 76 · règlement opérationnel 2025 · annexe 6;2025-04-14;84;PRESTATION DE SERVICE;APPUI D’UNE MISSION DE SERVICE PUBLIC;SAMU / TRANSFERT INTERHOSPITALIER;Départ type : Chef de salle;https://www.sdis76.fr/wp-content/uploads/reglement-operationnel.pdf#page=84
76-84-13;SDIS 76 · règlement opérationnel 2025 · annexe 6;2025-04-14;84;PRESTATION DE SERVICE;APPUI D’UNE MISSION DE SERVICE PUBLIC;SAMU/ASSISTANCE D’URGENCE REGULEE;Départ type : VSUAP_1;https://www.sdis76.fr/wp-content/uploads/reglement-operationnel.pdf#page=84
76-84-14;SDIS 76 · règlement opérationnel 2025 · annexe 6;2025-04-14;84;PRESTATION DE SERVICE;CARENCE DE SERVICE;SAMU / CARENCE PARTIELLE DE LA PERMANENCE DES SOINS (AIDE AU BRANCARDAGE);Départ type : Chef de salle;https://www.sdis76.fr/wp-content/uploads/reglement-operationnel.pdf#page=84
76-84-15;SDIS 76 · règlement opérationnel 2025 · annexe 6;2025-04-14;84;PRESTATION DE SERVICE;CARENCE DE SERVICE;SAMU / AIDE AU RELEVAGE DE PERSONNE EN ETABLISSEMENT DE SOINS;Départ type : Chef de salle;https://www.sdis76.fr/wp-content/uploads/reglement-operationnel.pdf#page=84
76-84-16;SDIS 76 · règlement opérationnel 2025 · annexe 6;2025-04-14;84;PRESTATION DE SERVICE;CARENCE DE SERVICE;SAMU / CARENCE DE LA PERMANENCE DES SOINS (AMBULANCIERE, MEDECIN,);Départ type : Chef de salle;https://www.sdis76.fr/wp-content/uploads/reglement-operationnel.pdf#page=84
31-43-01;SDIS 31 · règlement opérationnel 2012 · annexe 2;2012-07-16;43;Accidents de la circulation;Aérien;Accident d'avion de ligne - militaire;RURAL : GSAP + GSR + GINC + GCOMCOL | PAVILLON- NAIRE : GSAP + GSR + GINC+ GCOMCOL | URBAIN : GSAP + GSR + GINC+ GFI + GCOMCOL | CENTRE VILLE ANCIEN : GSAP + GSR + GINC+ GFI + GCOMCOL | CENTRE VILLE ANCIEN EPC 18m : GSAP + GSR + GINCR+ GFI + GCOMCOL;https://www.sdis31.fr/sites/default/files/atoms/files/ro_2012.pdf#page=43
31-43-02;SDIS 31 · règlement opérationnel 2012 · annexe 2;2012-07-16;43;Accidents de la circulation;Aérien;Accident d'avion de tourisme - hélicoptère - ULM;RURAL : GSR + FPT + CCF + GCOMCOL | PAVILLON- NAIRE : GSR + FPT + CCF + GCOMCOL | URBAIN : GSR + GINC + GCOMCOL | CENTRE VILLE ANCIEN : GSR + GINC + GCOMCOL | CENTRE VILLE ANCIEN EPC 18m : GSR + GINCR + GCOMCOL;https://www.sdis31.fr/sites/default/files/atoms/files/ro_2012.pdf#page=43
31-43-03;SDIS 31 · règlement opérationnel 2012 · annexe 2;2012-07-16;43;Accidents de la circulation;Ferroviaire;Accident de train de voyageurs - fret;RURAL : GSAP + GSR + CCF + GCOMCOL | PAVILLON- NAIRE : GSAP + GSR + CCF + GCOMCOL | URBAIN : GSAP + GSR + FPT + GCOMCOL | CENTRE VILLE ANCIEN : GSAP + GSR + FPT + GCOMCOL | CENTRE VILLE ANCIEN EPC 18m : GSAP + GSR + FPT + GCOMCOL;https://www.sdis31.fr/sites/default/files/atoms/files/ro_2012.pdf#page=43
31-43-04;SDIS 31 · règlement opérationnel 2012 · annexe 2;2012-07-16;43;Accidents de la circulation;Ferroviaire;Accident ferroviaire de TMD;RURAL : GRCH + 2 FPT + CCF + VSAV + GCOMCOL | PAVILLON- NAIRE : GRCH + 2 FPT + CCF + VSAV + GCOMCOL | URBAIN : GRCH + GINC + VSAV + GCOMCOL | CENTRE VILLE ANCIEN : GRCH + GINC + VSAV + GCOMCOL | CENTRE VILLE ANCIEN EPC 18m : GRCH + GINCR + VSAV + GCOMCOL;https://www.sdis31.fr/sites/default/files/atoms/files/ro_2012.pdf#page=43
31-43-05;SDIS 31 · règlement opérationnel 2012 · annexe 2;2012-07-16;43;Accidents de la circulation;Métro;accident de métro en station;RURAL : Cf départ ETARE | PAVILLON- NAIRE : Cf départ ETARE | URBAIN : Cf départ ETARE | CENTRE VILLE ANCIEN : Cf départ ETARE | CENTRE VILLE ANCIEN EPC 18m : Cf départ ETARE;https://www.sdis31.fr/sites/default/files/atoms/files/ro_2012.pdf#page=43
31-43-06;SDIS 31 · règlement opérationnel 2012 · annexe 2;2012-07-16;43;Accidents de la circulation;Métro;accident de métro en tunnel;RURAL : Cf départ ETARE | PAVILLON- NAIRE : Cf départ ETARE | URBAIN : Cf départ ETARE | CENTRE VILLE ANCIEN : Cf départ ETARE | CENTRE VILLE ANCIEN EPC 18m : Cf départ ETARE;https://www.sdis31.fr/sites/default/files/atoms/files/ro_2012.pdf#page=43
31-43-07;SDIS 31 · règlement opérationnel 2012 · annexe 2;2012-07-16;43;Accidents de la circulation;Tramway;accident de tramway;RURAL : GSR | PAVILLON- NAIRE : GSR | URBAIN : GSR | CENTRE VILLE ANCIEN : GSR | CENTRE VILLE ANCIEN EPC 18m : GSR;https://www.sdis31.fr/sites/default/files/atoms/files/ro_2012.pdf#page=43
31-43-08;SDIS 31 · règlement opérationnel 2012 · annexe 2;2012-07-16;43;Accidents de la circulation;Navigation;Accident de bateau;RURAL : VSAV + VPL + FPT + EMB + VCG | PAVILLON- NAIRE : VSAV + VPL + FPT + EMB + VCG | URBAIN : VSAV + VPL + FPT + EMB + VCG | CENTRE VILLE ANCIEN : VSAV + 2 VPL + FPTL + VCG | CENTRE VILLE ANCIEN EPC 18m : VSAV + 2 VPL + FPTL + VCG;https://www.sdis31.fr/sites/default/files/atoms/files/ro_2012.pdf#page=43
31-43-09;SDIS 31 · règlement opérationnel 2012 · annexe 2;2012-07-16;43;Accidents de la circulation;Navigation;Accident de bateau avec voyageurs;RURAL : GSAP + VPL + FPT + EMB + GCOMCOL | PAVILLON- NAIRE : GSAP + VPL + FPT + EMB + GCOMCOL | URBAIN : GSAP + VPL + FPT + EMB + GCOMCOL | CENTRE VILLE ANCIEN : GSAP + 2 VPL + FPTL + GCOMCOL | CENTRE VILLE ANCIEN EPC 18m : GSAP + 2 VPL + FPTL + GCOMCOL;https://www.sdis31.fr/sites/default/files/atoms/files/ro_2012.pdf#page=43
31-43-10;SDIS 31 · règlement opérationnel 2012 · annexe 2;2012-07-16;43;Accidents de la circulation;Routiers;Accident de circulation sur autoroute avec feu;RURAL : VSAV + VSR + FPT + PROTECTION + CCGC + VCG | PAVILLON- NAIRE : VSAV + VSR + FPT + PROTECTION + CCGC + VCG | URBAIN : VSAV + VSR + FPT + PROTECTION + CCGC + VCG | CENTRE VILLE ANCIEN : VSAV + VSR + FPTL + PROTECTION + CCGC + VCG | CENTRE VILLE ANCIEN EPC 18m : VSAV + VSR + FPTL + PROTECTION + CCGC + VCG;https://www.sdis31.fr/sites/default/files/atoms/files/ro_2012.pdf#page=43
31-43-11;SDIS 31 · règlement opérationnel 2012 · annexe 2;2012-07-16;43;Accidents de la circulation;Routiers;Accident de circulation sur autoroute avec plusieurs VL, PL ou bus;RURAL : GSR + FPT + PROTECTION + VCG | PAVILLON- NAIRE : GSR + FPT + PROTECTION + VCG | URBAIN : GSR + FPT + PROTECTION + VCG | CENTRE VILLE ANCIEN : GSR + FPTL + PROTECTION + VCG | CENTRE VILLE ANCIEN EPC 18m : GSR + FPTL + PROTECTION + VCG;https://www.sdis31.fr/sites/default/files/atoms/files/ro_2012.pdf#page=43
31-43-12;SDIS 31 · règlement opérationnel 2012 · annexe 2;2012-07-16;43;Accidents de la circulation;Routiers;Accident de circulation sur autoroute sans précision;RURAL : VSAV + VSR + PROTECTION + VCG | PAVILLON- NAIRE : VSAV + VSR + PROTECTION + VCG | URBAIN : VSAV + VSR + PROTECTION + VCG | CENTRE VILLE ANCIEN : VSAV + VSR + PROTECTION + VCG | CENTRE VILLE ANCIEN EPC 18m : VSAV + VSR + PROTECTION + VCG;https://www.sdis31.fr/sites/default/files/atoms/files/ro_2012.pdf#page=43
31-43-13;SDIS 31 · règlement opérationnel 2012 · annexe 2;2012-07-16;43;Accidents de la circulation;Routiers;Accident de circulation avec véhicule tombé à l'eau;RURAL : VSAV + VPL + EMB + FPT +VCG | PAVILLON- NAIRE : VSAV + VPL + EMB + FPT +VCG | URBAIN : VSAV + VPL + EMB + FPT +VCG | CENTRE VILLE ANCIEN : VSAV + 2 VPL + FPTL + VCG | CENTRE VILLE ANCIEN EPC 18m : VSAV + 2 VPL + FPTL + VCG;https://www.sdis31.fr/sites/default/files/atoms/files/ro_2012.pdf#page=43
31-44-01;SDIS 31 · règlement opérationnel 2012 · annexe 2;2012-07-16;44;Accidents de la circulation;Routiers;Accident de circulation avec désincarcération;RURAL : VSAV + VSR + VCG | PAVILLON- NAIRE : VSAV + VSR + VCG | URBAIN : VSAV + VSR + VCG | CENTRE VILLE ANCIEN : VSAV + VSR + VCG | CENTRE VILLE ANCIEN EPC 18m : VSAV + VSR + VCG;https://www.sdis31.fr/sites/default/files/atoms/files/ro_2012.pdf#page=44
31-44-02;SDIS 31 · règlement opérationnel 2012 · annexe 2;2012-07-16;44;Accidents de la circulation;Routiers;Accident de circulation nombreuses victimes ou feu;RURAL : GSR + FPT | PAVILLON- NAIRE : GSR + FPT | URBAIN : GSR + FPT | CENTRE VILLE ANCIEN : GSR + FPTL | CENTRE VILLE ANCIEN EPC 18m : GSR + FPTL;https://www.sdis31.fr/sites/default/files/atoms/files/ro_2012.pdf#page=44
31-44-03;SDIS 31 · règlement opérationnel 2012 · annexe 2;2012-07-16;44;Accidents de la circulation;Routiers;Accident de circulation sans précision;RURAL : VSAV + VSR | PAVILLON- NAIRE : VSAV + VSR | URBAIN : VSAV | CENTRE VILLE ANCIEN : VSAV | CENTRE VILLE ANCIEN EPC 18m : VSAV;https://www.sdis31.fr/sites/default/files/atoms/files/ro_2012.pdf#page=44
31-44-04;SDIS 31 · règlement opérationnel 2012 · annexe 2;2012-07-16;44;Accidents de la circulation;Routiers;Accident de circulation avec TMD;RURAL : GRCH + GSR + CCGC + GCOMCOL | PAVILLON- NAIRE : GRCH + GSR + CCGC + GCOMCOL | URBAIN : GRCH + GSR + CCGC + GCOMCOL | CENTRE VILLE ANCIEN : GRCH + GSR + CCGC + GCOMCOL | CENTRE VILLE ANCIEN EPC 18m : GRCH + GSR + CCGC + GCOMCOL;https://www.sdis31.fr/sites/default/files/atoms/files/ro_2012.pdf#page=44
31-44-05;SDIS 31 · règlement opérationnel 2012 · annexe 2;2012-07-16;44;Accidents de la circulation;Routiers;Accident de circulation de bus;RURAL : VSAV + VSR | PAVILLON- NAIRE : VSAV + VSR | URBAIN : VSAV | CENTRE VILLE ANCIEN : VSAV | CENTRE VILLE ANCIEN EPC 18m : VSAV;https://www.sdis31.fr/sites/default/files/atoms/files/ro_2012.pdf#page=44
31-44-06;SDIS 31 · règlement opérationnel 2012 · annexe 2;2012-07-16;44;Incendies;Autres;Alerte à la bombe, colis suspect, découverte d'engin explosif;RURAL : VSAV + FPT + VCG | PAVILLON- NAIRE : VSAV + FPT + VCG | URBAIN : VSAV +FPT + VCG | CENTRE VILLE ANCIEN : VSAV + FPTL + VCG | CENTRE VILLE ANCIEN EPC 18m : VSAV + FPTL + VCG;https://www.sdis31.fr/sites/default/files/atoms/files/ro_2012.pdf#page=44
31-44-07;SDIS 31 · règlement opérationnel 2012 · annexe 2;2012-07-16;44;Incendies;Autres;Autres feux en plein air;RURAL : FPT | PAVILLON- NAIRE : FPT | URBAIN : FPT | CENTRE VILLE ANCIEN : FPTL | CENTRE VILLE ANCIEN EPC 18m : FPTL;https://www.sdis31.fr/sites/default/files/atoms/files/ro_2012.pdf#page=44
31-44-08;SDIS 31 · règlement opérationnel 2012 · annexe 2;2012-07-16;44;Incendies;Autres;Déclenchement d'alarme incendie;RURAL : FPT | PAVILLON- NAIRE : FPT | URBAIN : FPT | CENTRE VILLE ANCIEN : FPTL | CENTRE VILLE ANCIEN EPC 18m : FPTL;https://www.sdis31.fr/sites/default/files/atoms/files/ro_2012.pdf#page=44
31-44-09;SDIS 31 · règlement opérationnel 2012 · annexe 2;2012-07-16;44;Incendies;Autres;Explosion;RURAL : FPT + VSAV + VCG | PAVILLON- NAIRE : 2 FPT + VSAV + VCG | URBAIN : FPT + VSAV + EPA + VCG | CENTRE VILLE ANCIEN : GINC + VSAV | CENTRE VILLE ANCIEN EPC 18m : GINCR + VSAV;https://www.sdis31.fr/sites/default/files/atoms/files/ro_2012.pdf#page=44
31-44-10;SDIS 31 · règlement opérationnel 2012 · annexe 2;2012-07-16;44;Incendies;Autres;Feu de poubelle en plein air;RURAL : FPT | PAVILLON- NAIRE : FPT | URBAIN : FPT | CENTRE VILLE ANCIEN : FPTL | CENTRE VILLE ANCIEN EPC 18m : FPTL;https://www.sdis31.fr/sites/default/files/atoms/files/ro_2012.pdf#page=44
31-44-11;SDIS 31 · règlement opérationnel 2012 · annexe 2;2012-07-16;44;Incendies;Autres;Feu de transfo;RURAL : FPT | PAVILLON- NAIRE : FPT | URBAIN : FPT | CENTRE VILLE ANCIEN : FPTL (consigne St Jory + Vion + Lougnon : RPO) | CENTRE VILLE ANCIEN EPC 18m : FPTL (consigne St Jory + Vion + Lougnon : RPO);https://www.sdis31.fr/sites/default/files/atoms/files/ro_2012.pdf#page=44
31-44-12;SDIS 31 · règlement opérationnel 2012 · annexe 2;2012-07-16;44;Incendies;Autres;Fuite de gaz inflammable;RURAL : FPT | PAVILLON- NAIRE : FPT | URBAIN : FPT | CENTRE VILLE ANCIEN : FPTL | CENTRE VILLE ANCIEN EPC 18m : FPTL;https://www.sdis31.fr/sites/default/files/atoms/files/ro_2012.pdf#page=44
31-44-13;SDIS 31 · règlement opérationnel 2012 · annexe 2;2012-07-16;44;Incendies;Autres;Fuite de gaz inflammable Procédure Renforcée;RURAL : GINC | PAVILLON- NAIRE : GINC | URBAIN : GINC + GSAP + VLD + GCOMCOL | CENTRE VILLE ANCIEN : GINC + GSAP + VLD + GCOMCOL | CENTRE VILLE ANCIEN EPC 18m : GINCR + GSAP + VLD + GCOMCOL;https://www.sdis31.fr/sites/default/files/atoms/files/ro_2012.pdf#page=44
31-45-01;SDIS 31 · règlement opérationnel 2012 · annexe 2;2012-07-16;45;Incendies;Autres;Fumées suspectes / Odeurs de brûlé Jour (8h à 20h);RURAL : FPT | PAVILLON- NAIRE : FPT | URBAIN : FPT | CENTRE VILLE ANCIEN : FPTL | CENTRE VILLE ANCIEN EPC 18m : FPTL;https://www.sdis31.fr/sites/default/files/atoms/files/ro_2012.pdf#page=45
31-45-02;SDIS 31 · règlement opérationnel 2012 · annexe 2;2012-07-16;45;Incendies;Autres;Fumées suspectes / Odeurs de brûlé Nuit (20h à 8h);RURAL : FPT | PAVILLON- NAIRE : FPT | URBAIN : FPT + EPA + VCG | CENTRE VILLE ANCIEN : GINC | CENTRE VILLE ANCIEN EPC 18m : GINCR;https://www.sdis31.fr/sites/default/files/atoms/files/ro_2012.pdf#page=45
31-45-03;SDIS 31 · règlement opérationnel 2012 · annexe 2;2012-07-16;45;Incendies;Etablissements recevant du public;Feu dans un ERP sans locaux à sommeil;RURAL : FPT + FPT + CCGC + VCG | PAVILLON- NAIRE : 2 FPT + VCG | URBAIN : GINC | CENTRE VILLE ANCIEN : GINC + EPC32 | CENTRE VILLE ANCIEN EPC 18m : GINCR + EPC32;https://www.sdis31.fr/sites/default/files/atoms/files/ro_2012.pdf#page=45
31-45-04;SDIS 31 · règlement opérationnel 2012 · annexe 2;2012-07-16;45;Incendies;Etablissements recevant du public;Feu dans un ERP avec locaux à sommeil Jour (8h à 20h);RURAL : FPT + FPT + CCGC + VSAV + VCG | PAVILLON- NAIRE : FPT + FPT + VSAV + VCG | URBAIN : GINC + VSAV | CENTRE VILLE ANCIEN : GINC + EPC32 + VSAV | CENTRE VILLE ANCIEN EPC 18m : GINCR + EPC32 + VSAV;https://www.sdis31.fr/sites/default/files/atoms/files/ro_2012.pdf#page=45
31-45-05;SDIS 31 · règlement opérationnel 2012 · annexe 2;2012-07-16;45;Incendies;Etablissements recevant du public;Feu dans un ERP avec locaux à sommeil Nuit (20h à 8h);RURAL : GINC + VSAV + CCGC + GCOMCOL | PAVILLON- NAIRE : GINC + VSAV + GCOMCOL | URBAIN : GINC + 2 VSAV + GCOMCOL | CENTRE VILLE ANCIEN : GINC + EPC32 + 2 VSAV + GCOMCOL | CENTRE VILLE ANCIEN EPC 18m : GINCR + EPC32 + 2 VSAV + GCOMCOL;https://www.sdis31.fr/sites/default/files/atoms/files/ro_2012.pdf#page=45
31-45-06;SDIS 31 · règlement opérationnel 2012 · annexe 2;2012-07-16;45;Incendies;Etablissements recevant du public;Feu de parking ERP en sous-sol;RURAL : 2 FPT + CCGC + VCG | PAVILLON- NAIRE : 2 FPT + VCG | URBAIN : GINC + VEV | CENTRE VILLE ANCIEN : GINC + FPT + VEV + GCOMCOL | CENTRE VILLE ANCIEN EPC 18m : GINCR + FPT + VEV + GCOMCOL;https://www.sdis31.fr/sites/default/files/atoms/files/ro_2012.pdf#page=45
31-45-07;SDIS 31 · règlement opérationnel 2012 · annexe 2;2012-07-16;45;Incendies;Habitations;Autre feu dans une habitation (compteur élec.);RURAL : FPT | PAVILLON- NAIRE : FPT | URBAIN : FPT | CENTRE VILLE ANCIEN : FPTL | CENTRE VILLE ANCIEN EPC 18m : FPTL;https://www.sdis31.fr/sites/default/files/atoms/files/ro_2012.pdf#page=45
31-45-08;SDIS 31 · règlement opérationnel 2012 · annexe 2;2012-07-16;45;Incendies;Habitations;Feu d'appartement ou parties communes;RURAL : FPT + CCGC + VCG | PAVILLON- NAIRE : 2 FPT + VCG | URBAIN : GINC + VSAV | CENTRE VILLE ANCIEN : GINC + VSAV | CENTRE VILLE ANCIEN EPC 18m : GINCR + VSAV;https://www.sdis31.fr/sites/default/files/atoms/files/ro_2012.pdf#page=45
31-45-09;SDIS 31 · règlement opérationnel 2012 · annexe 2;2012-07-16;45;Incendies;Habitations;Feu de cheminée;RURAL : FPT | PAVILLON- NAIRE : FPT | URBAIN : FPT | CENTRE VILLE ANCIEN : FPTL | CENTRE VILLE ANCIEN EPC 18m : FPTL;https://www.sdis31.fr/sites/default/files/atoms/files/ro_2012.pdf#page=45
31-45-10;SDIS 31 · règlement opérationnel 2012 · annexe 2;2012-07-16;45;Incendies;Habitations;Feu de locaux communs (cage d’escalier, vide- ordure, caves, chaufferie);RURAL : FPT + CCGC + VCG | PAVILLON- NAIRE : 2 FPT + VCG | URBAIN : GINC + VSAV | CENTRE VILLE ANCIEN : GINC + EPC32 + VSAV + GCOMCOL | CENTRE VILLE ANCIEN EPC 18m : GINCR + EPC32 + VSAV;https://www.sdis31.fr/sites/default/files/atoms/files/ro_2012.pdf#page=45
31-45-11;SDIS 31 · règlement opérationnel 2012 · annexe 2;2012-07-16;45;Incendies;Habitations;Feu de maison;RURAL : FPT + CCGC + VCG | PAVILLON- NAIRE : 2 FPT + VCG | URBAIN : GINC | CENTRE VILLE ANCIEN : GINC | CENTRE VILLE ANCIEN EPC 18m : GINCR;https://www.sdis31.fr/sites/default/files/atoms/files/ro_2012.pdf#page=45
31-45-12;SDIS 31 · règlement opérationnel 2012 · annexe 2;2012-07-16;45;Incendies;Habitations;Feu de parking habitation en sous- sol;RURAL : 2 FPT + CCGC + VCG | PAVILLON- NAIRE : 2 FPT + VCG | URBAIN : GINC + VGD | CENTRE VILLE ANCIEN : GINC + FPT +VGD GCOMCOL | CENTRE VILLE ANCIEN EPC 18m : GINCR + FPT + VGD + GCOMCOL;https://www.sdis31.fr/sites/default/files/atoms/files/ro_2012.pdf#page=45
31-45-13;SDIS 31 · règlement opérationnel 2012 · annexe 2;2012-07-16;45;Incendies;Etablissements recevant du public;Feu de bureaux;RURAL : FPT + CCGC + VCG | PAVILLON- NAIRE : 2 FPT + VCG | URBAIN : GINC | CENTRE VILLE ANCIEN : GINC + EPC32 | CENTRE VILLE ANCIEN EPC 18m : GINCR + EPC32;https://www.sdis31.fr/sites/default/files/atoms/files/ro_2012.pdf#page=45
31-45-14;SDIS 31 · règlement opérationnel 2012 · annexe 2;2012-07-16;45;Incendies;Locaux industriels et entrepôts;Feu de bâtiment agricole;RURAL : GINC + CCGC | PAVILLON- NAIRE : GINC | URBAIN : GINC | CENTRE VILLE ANCIEN : GINC | CENTRE VILLE ANCIEN EPC 18m : GINCR;https://www.sdis31.fr/sites/default/files/atoms/files/ro_2012.pdf#page=45
31-45-15;SDIS 31 · règlement opérationnel 2012 · annexe 2;2012-07-16;45;Incendies;Etablissements recevant du public;Feu de boutique - bar - restaurant;RURAL : FPT + CCGC + VCG | PAVILLON- NAIRE : 2 FPT + VCG | URBAIN : GINC | CENTRE VILLE ANCIEN : GINC + EPC32 | CENTRE VILLE ANCIEN EPC 18m : GINCR + EPC32;https://www.sdis31.fr/sites/default/files/atoms/files/ro_2012.pdf#page=45
31-46-01;SDIS 31 · règlement opérationnel 2012 · annexe 2;2012-07-16;46;Incendies;Locaux industriels et entrepôts;Feu d'atelier - local artisanal;RURAL : FPT + CCGC + VCG | PAVILLON- NAIRE : 2 FPT + VCG | URBAIN : GINC | CENTRE VILLE ANCIEN : GINC + EPC32 | CENTRE VILLE ANCIEN EPC 18m : GINCR + EPC32;https://www.sdis31.fr/sites/default/files/atoms/files/ro_2012.pdf#page=46
31-46-02;SDIS 31 · règlement opérationnel 2012 · annexe 2;2012-07-16;46;Incendies;Locaux industriels et entrepôts;Feu d'entrepôt /de local industriel;RURAL : GINC + GALIM + GCOMCOL | PAVILLON- NAIRE : GINC + GALIM + GCOMCOL | URBAIN : GINC + GALIM + GCOMCOL | CENTRE VILLE ANCIEN : GINC + GALIM + GCOMCOL | CENTRE VILLE ANCIEN EPC 18m : GINCR + GALIM + GCOMCOL;https://www.sdis31.fr/sites/default/files/atoms/files/ro_2012.pdf#page=46
31-46-03;SDIS 31 · règlement opérationnel 2012 · annexe 2;2012-07-16;46;Incendies;Végétations;Feu de chaumes ou de récoltes sur pieds (feu de culture);RURAL : Cf niveaux Griffon | PAVILLON- NAIRE : Cf niveaux Griffon | URBAIN : Cf niveaux Griffon | CENTRE VILLE ANCIEN : FPT | CENTRE VILLE ANCIEN EPC 18m : FPT;https://www.sdis31.fr/sites/default/files/atoms/files/ro_2012.pdf#page=46
31-46-04;SDIS 31 · règlement opérationnel 2012 · annexe 2;2012-07-16;46;Incendies;Végétations;Feu d’herbes ou de broussailles (y compris feu de landes, maquis);RURAL : Cf niveaux Griffon | PAVILLON- NAIRE : Cf niveaux Griffon | URBAIN : Cf niveaux Griffon | CENTRE VILLE ANCIEN : FPT | CENTRE VILLE ANCIEN EPC 18m : FPT;https://www.sdis31.fr/sites/default/files/atoms/files/ro_2012.pdf#page=46
31-46-05;SDIS 31 · règlement opérationnel 2012 · annexe 2;2012-07-16;46;Incendies;Végétations;Feu de forêt ou bois;RURAL : Cf niveaux Griffon | PAVILLON- NAIRE : Cf niveaux Griffon | URBAIN : Cf niveaux Griffon | CENTRE VILLE ANCIEN : FPT | CENTRE VILLE ANCIEN EPC 18m : FPT;https://www.sdis31.fr/sites/default/files/atoms/files/ro_2012.pdf#page=46
31-46-06;SDIS 31 · règlement opérationnel 2012 · annexe 2;2012-07-16;46;Incendies;Véhicules de transport;Feu d'avion de ligne - militaire;RURAL : GINC + GSR + GFI + GCOMCOL | PAVILLON- NAIRE : GINC + GSR + GFI + GCOMCOL | URBAIN : GINC + GSR + GFI + GCOMCOL | CENTRE VILLE ANCIEN : GINC + GSR + GFI + GCOMCOL | CENTRE VILLE ANCIEN EPC 18m : GINCR + GSR + GFI + GCOMCOL;https://www.sdis31.fr/sites/default/files/atoms/files/ro_2012.pdf#page=46
31-46-07;SDIS 31 · règlement opérationnel 2012 · annexe 2;2012-07-16;46;Incendies;Véhicules de transport;Feu d'avion de tourisme - hélicoptère - ULM;RURAL : FPT + CCGC + VSAV +VCG | PAVILLON- NAIRE : FPT + CCGC + VSAV +VCG | URBAIN : FPT + CCGC + VSAV +VCG | CENTRE VILLE ANCIEN : GINC + VSAV +VCG | CENTRE VILLE ANCIEN EPC 18m : GINCR + VSAV +VCG;https://www.sdis31.fr/sites/default/files/atoms/files/ro_2012.pdf#page=46
